frame,engine,runtime_s,peak_rss_bytes,percomp,ncc,shape
A_013,whirlwind,11.6,2526904320,100.0,1,shape=(4221,4293)
A_013,wworig,58.0,3762569216,100.0,0,shape=(4221,4293)
A_013,phass,11.0,2164654080,99.3,1,shape=(4221,4293)
A_016,whirlwind,18.1,3049701376,100.0,8,shape=(4230,4311)
A_016,wworig,47.4,3956506624,100.0,0,shape=(4230,4311)
A_016,phass,12.9,2054438912,99.6,11,shape=(4230,4311)
A_018,whirlwind,11.2,2774155264,100.0,69,shape=(4239,4311)
A_018,wworig,46.1,2497380352,100.0,0,shape=(4239,4311)
A_018,phass,5.5,1906393088,85.7,112,shape=(4239,4311)
A_020,whirlwind,14.2,2933309440,99.8,1,shape=(4374,4437)
A_020,wworig,85.5,4798185472,99.8,0,shape=(4374,4437)
A_020,phass,11.3,2339307520,99.4,5,shape=(4374,4437)
A_022,whirlwind,17.3,3029565440,100.0,2,shape=(4383,4446)
A_022,wworig,58.0,3036512256,100.0,0,shape=(4383,4446)
A_022,phass,7.5,2120122368,99.4,2,shape=(4383,4446)
A_025,whirlwind,17.8,3156033536,100.0,41,shape=(4401,4446)
A_025,wworig,58.9,3969662976,70.3,0,shape=(4401,4446)
A_025,phass,6.3,2325413888,67.0,128,shape=(4401,4446)
A_028,whirlwind,20.5,3227992064,100.0,36,shape=(4563,4599)
A_028,wworig,58.7,4436787200,100.0,0,shape=(4563,4599)
A_028,phass,12.0,2026668032,92.9,275,shape=(4563,4599)
A_030,whirlwind,20.1,3281895424,100.0,230,shape=(4590,4608)
A_030,wworig,93.7,3686465536,100.0,0,shape=(4590,4608)
A_030,phass,9.3,2391179264,75.4,414,shape=(4590,4608)
D_074,whirlwind,17.0,2810232832,98.8,45,shape=(4275,4356)
D_074,wworig,52.5,2930524160,98.8,0,shape=(4275,4356)
D_074,phass,7.1,1809235968,91.2,11,shape=(4275,4356)
D_075,whirlwind,30.8,3026108416,88.2,64,shape=(4275,4356)
D_075,wworig,113.6,3545432064,88.2,0,shape=(4275,4356)
D_075,phass,18.3,1861550080,48.4,119,shape=(4275,4356)
D_077,whirlwind,30.1,2939437056,99.5,46,shape=(4176,4257)
D_077,wworig,121.8,3364077568,99.5,0,shape=(4176,4257)
D_077,phass,22.6,1862287360,94.7,85,shape=(4176,4257)
D_078,whirlwind,21.3,2875375616,99.8,4,shape=(4176,4257)
D_078,wworig,67.0,2988720128,99.9,0,shape=(4176,4257)
D_078,phass,12.0,1695383552,96.9,6,shape=(4176,4257)
A_035,whirlwind,12.6,2605383680,100.0,119,shape=(4104,4185)
A_035,wworig,49.1,4224761856,100.0,0,shape=(4104,4185)
A_035,phass,9.7,1725808640,94.6,98,shape=(4104,4185)
A_013,snaphu,1242.5,6641270784,100.0,1,shape=(4221,4293)
A_013,icu,200.9,1907654656,100.0,0,shape=(4221,4293)
A_016,snaphu,895.4,7083327488,100.0,3,shape=(4230,4311)
A_016,icu,134.8,2058469376,100.0,0,shape=(4230,4311)
A_018,snaphu,983.9,7213400064,100.0,1,shape=(4239,4311)
A_018,icu,145.0,1489862656,100.0,0,shape=(4239,4311)
A_013,snaphu3x3,96.6,7889534976,100.0,1,shape=(4221
A_016,snaphu3x3,148.2,11368120320,100.0,3,shape=(4230
A_018,snaphu3x3,143.1,8006156288,100.0,1,shape=(4239
A_020,snaphu,855.0,7978483712,100.0,1,shape=(4374,4437)
A_020,snaphu3x3,149.4,11976835072,100.0,1,shape=(4374
A_020,icu,118.2,2541879296,100.0,0,shape=(4374,4437)
A_022,snaphu,780.5,8010907648,100.0,1,shape=(4383,4446)
A_022,snaphu3x3,163.4,12085542912,100.0,1,shape=(4383
A_022,icu,109.0,2565062656,100.0,0,shape=(4383,4446)
A_025,snaphu,767.1,8043708416,100.0,3,shape=(4401,4446)
A_025,snaphu3x3,153.3,12047695872,100.0,3,shape=(4401
A_025,icu,111.2,2480914432,73.2,0,shape=(4401,4446)
A_028,snaphu,852.8,8627306496,100.0,2,shape=(4563,4599)
A_028,snaphu3x3,174.0,12843483136,100.0,2,shape=(4563
A_028,icu,121.4,2730229760,100.0,0,shape=(4563,4599)
A_030,snaphu,1105.7,8695857152,100.0,1,shape=(4590,4608)
A_030,snaphu3x3,169.4,11705090048,100.0,1,shape=(4590
A_030,icu,140.1,2786000896,100.0,0,shape=(4590,4608)
D_074,snaphu,1073.9,7655571456,98.8,1,shape=(4275,4356)
D_074,snaphu3x3,142.8,5735366656,98.8,1,shape=(4275
D_074,icu,155.0,2424832000,100.0,0,shape=(4275,4356)
D_075,snaphu,767.2,7468089344,88.2,3,shape=(4275,4356)
D_075,snaphu3x3,200.6,11652448256,88.2,3,shape=(4275
D_075,icu,167.7,2330460160,11.5,0,shape=(4275,4356)
D_077,snaphu,696.8,7309361152,99.3,2,shape=(4176,4257)
D_077,snaphu3x3,146.8,11094130688,99.3,2,shape=(4176
D_077,icu,130.7,2333589504,96.2,0,shape=(4176,4257)
D_078,snaphu,465.5,7308558336,99.9,1,shape=(4176,4257)
D_078,snaphu3x3,128.5,11098832896,99.9,1,shape=(4176
D_078,icu,204.2,2337243136,90.2,0,shape=(4176,4257)
A_035,snaphu,737.5,7061094400,100.0,1,shape=(4104,4185)
A_035,snaphu3x3,161.6,10827563008,100.0,1,shape=(4104
A_035,icu,109.9,2259730432,99.8,0,shape=(4104,4185)
